# voltage (V), current (A), dIdV (G0)
-1.109999999999999876e-03,-7.655173793469757013e-09,6.701140198544167093e-02
-1.108000000000000044e-03,-7.667659791965924247e-09,4.788872272904694249e-02
-1.105999999999999995e-03,-7.640331944810179525e-09,1.602107164219129798e-01
-1.103999999999999947e-03,-7.618006698893691863e-09,9.242799664891232503e-02
-1.102000000000000115e-03,-7.611686320955641298e-09,3.189979691410332885e-02
-1.100000000000000066e-03,-7.608120196788613183e-09,1.175779065939218659e-01
-1.098000000000000018e-03,-7.575246144731899976e-09,1.121934009208989252e-01
-1.095999999999999969e-03,-7.573348806319667885e-09,4.334478668551246250e-02
-1.093999999999999920e-03,-7.561812569403368315e-09,8.934129495159741363e-02
-1.092000000000000089e-03,-7.545659824380765690e-09,1.540090226100218895e-01
-1.090000000000000040e-03,-7.514081528032323604e-09,9.941897947569773575e-02
-1.087999999999999991e-03,-7.514847529477513347e-09,4.747525375136017745e-02
-1.085999999999999943e-03,-7.499367823195399671e-09,1.073923620546137769e-01
-1.083999999999999894e-03,-7.481564094589787593e-09,1.519088547854286764e-01
-1.082000000000000062e-03,-7.452287673542409948e-09,9.733993055715429998e-02
-1.080000000000000014e-03,-7.451396146155737399e-09,1.319839179523070172e-01
-1.077999999999999965e-03,-7.411382733420516803e-09,1.195541234334365488e-01
-1.076000000000000133e-03,-7.414343493558037061e-09,1.797664350958799381e-02
-1.073999999999999868e-03,-7.405811346104842587e-09,5.883124223087556753e-02
-1.072000000000000036e-03,-7.396110299104601910e-09,1.268739463331985673e-01
-1.069999999999999988e-03,-7.366490107136446446e-09,1.062575639224794533e-01
-1.067999999999999939e-03,-7.363178565017742942e-09,2.177518957573446740e-02
-1.066000000000000107e-03,-7.359741460486481826e-09,1.084162835528093699e-01
-1.064000000000000059e-03,-7.329577792622362423e-09,1.781513078867930922e-01
-1.062000000000000010e-03,-7.304528153480552713e-09,4.428627626222983449e-02
-1.059999999999999961e-03,-7.315852427389738510e-09,7.173930939509955140e-02
-1.057999999999999913e-03,-7.282294443489818771e-09,1.849749322514990801e-01
-1.056000000000000081e-03,-7.258524317683733901e-09,7.164834053579766104e-02
-1.054000000000000032e-03,-7.260088926901740308e-09,5.199683780010992684e-02
-1.051999999999999984e-03,-7.242409266928005753e-09,1.438898172306270207e-01
-1.049999999999999935e-03,-7.215494066790861414e-09,1.269647345156498797e-01
-1.047999999999999887e-03,-7.203059890552989541e-09,5.503105058536947314e-02
-1.046000000000000055e-03,-7.198438641675715256e-09,3.193657303947899234e-02
-1.044000000000000006e-03,-7.193161990656196567e-09,1.270548433769084218e-01
-1.041999999999999958e-03,-7.159061338431794249e-09,1.263564082368099084e-01
-1.040000000000000126e-03,-7.154001148993565484e-09,8.012665838258367645e-02
-1.038000000000000077e-03,-7.134228190468331966e-09,1.211196108612066918e-01
-1.036000000000000029e-03,-7.116463314788227735e-09,7.439585773537014946e-02
-1.033999999999999980e-03,-7.111171153268679377e-09,7.673603139136080109e-02
-1.031999999999999931e-03,-7.092681002382640261e-09,9.053365076518685162e-02
-1.030000000000000100e-03,-7.083112632041084176e-09,1.446475842243325205e-01
-1.028000000000000051e-03,-7.047851292344701736e-09,1.257904566747569952e-01
-1.026000000000000002e-03,-7.044127192163130497e-09,9.899462055096566737e-02
-1.023999999999999954e-03,-7.017170516316444290e-09,1.041449797843370106e-01
-1.021999999999999905e-03,-7.011850197903774193e-09,6.510159364512724256e-02
-1.020000000000000073e-03,-6.996993991545785952e-09,3.957586453810059413e-02
-1.018000000000000025e-03,-6.999584700755947733e-09,1.315118487197085018e-01
-1.015999999999999976e-03,-6.956235356852557885e-09,1.394804945015600539e-01
-1.013999999999999927e-03,-6.956356394123772462e-09,3.932641681367989028e-02
-1.011999999999999879e-03,-6.944047169458746599e-09,9.424485631098969418e-02
